
Generated at: 2022/03/05 19:08:00
mirDIP version: 5.0.2.3.
Database version: 5.0.2.2



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p,hsa-miR-126-3p,hsa-miR-138,hsa-miR-146b-5p,hsa-miR-205-5p,hsa-miR-205-3p,hsa-miR-30a-5p,hsa-miR-30a-3p,hsa-miR-30d-5p,hsa-miR-30d-3p,hsa-miR-31-5p,hsa-miR-31-3p,hsa-miR-34c-3p,hsa-miR-34c-5p,hsa-miR-652-5p,hsa-miR-652-3p
Minimum Score   - Very High


MicroRNAs input verification: (1)
Provided Gene Symbol	Suggestion	Updated Symbol at Database
hsa-miR-138	not in database for selected minimum score or unknow microRNA	

Note: Suggested mircoRNAs may NOT be found in database.


Results (2506) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
CELF3	Q5SZQ8		hsa-miR-34c-5p	0.731069707413781	12	Very High	MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
KIAA1217	Q5T5P2		hsa-miR-34c-5p	0.730385735612225	11	Very High	Cupid|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
METAP1	P53582		hsa-miR-34c-5p	0.729318091219317	12	Very High	Cupid|MBStar|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SLC2A13	Q96QE2		hsa-miR-34c-5p	0.728993141697358	13	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
GRM7	Q14831		hsa-miR-34c-5p	0.727664275482734	12	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
ENC1	O14682		hsa-miR-205-5p	0.727539498919646	13	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
BACH2	Q9BYV9		hsa-miR-31-5p	0.727328543134864	13	Very High	MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
VEZT	Q9HBM0		hsa-miR-31-5p	0.727324300163773	10	Very High	MBStar|MirTar2|MultiMiTar|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
NUMB	P49757		hsa-miR-31-5p	0.727270428138733	11	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miRDB_v6|mirmap_May_2021|mirzag|PITA_May_2021|TargetScan_v7_2
SEPTIN3	Q9UH03		hsa-miR-34c-5p	0.726737532259469	11	Very High	Cupid|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
PNOC	Q13519		hsa-miR-34c-5p	0.725839738222593	11	Very High	Cupid|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
TESK2	Q96S53		hsa-miR-31-5p	0.725597525273993	12	Very High	Cupid|MirTar2|MultiMiTar|bitargeting_May_2021|MirAncesTar|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
SLC18A1	P54219		hsa-miR-34c-5p	0.725511451880043	8	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|RNA22|TargetScan_v7_2
LMBR1L	Q6UX01		hsa-miR-34c-5p	0.725445896343544	12	Very High	Cupid|MBStar|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|mirmap_May_2021|PITA_May_2021|RNA22|TargetScan_v7_2
PPP3CA	Q08209		hsa-miR-31-5p	0.724664672083334	13	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
STRBP	Q96SI9		hsa-miR-146b-5p	0.724486057790794	13	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
OSGIN2	Q9Y236		hsa-miR-34c-5p	0.724278542766988	11	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
VCL	P18206		hsa-miR-34c-5p	0.722820492539783	14	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
POGZ	Q7Z3K3		hsa-miR-34c-5p	0.722632248675198	10	Very High	MBStar|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
CLDN11	O75508		hsa-miR-205-5p	0.722229652804645	8	Very High	Cupid|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|TargetScan_v7_2
PDE7B	Q9NP56		hsa-miR-34c-5p	0.722142179430763	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|mirzag|RNA22|TargetScan_v7_2
YES1	P07947		hsa-miR-205-5p	0.721655223610075	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
FOXN2	P32314		hsa-miR-34c-5p	0.721451242518756	9	Very High	Cupid|MBStar|MultiMiTar|miRTar2GO|MirAncesTar|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
B4GALT6	Q9UBX8		hsa-miR-205-5p	0.721137396131583	12	Very High	Cupid|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
PPP1R10	Q96QC0		hsa-miR-34c-5p	0.721128387159788	14	Very High	Cupid|MBStar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
ISL1	P61371		hsa-miR-31-5p	0.720935350534115	10	Very High	Cupid|MBStar|MultiMiTar|miRTar2GO|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
ACSL4	O60488		hsa-miR-34c-5p	0.720514875014367	13	Very High	Cupid|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
NEU1	Q99519		hsa-miR-205-5p	0.720125250952385	10	Very High	MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
CHD1	O14646		hsa-miR-34c-5p	0.720073084300694	11	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
CACNG4	Q9UBN1		hsa-miR-31-5p	0.719765854115892	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
DCAF12	Q5T6F0		hsa-miR-146b-5p	0.719560906749559	13	Very High	Cupid|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|mirCoX|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
QKI	Q96PU8		hsa-miR-31-5p	0.719540267812964	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
NOTCH2	Q04721		hsa-miR-34c-5p	0.719462589928603	13	Very High	MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
CDK6	Q00534		hsa-miR-34c-5p	0.719302718489971	14	Very High	MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SEMA4F	O95754		hsa-miR-34c-5p	0.718981260721895	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
ESRRG	P62508		hsa-miR-205-5p	0.717981812630417	9	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|TargetScan_v7_2
ADAMTS9	Q9P2N4		hsa-miR-205-5p	0.717838000165327	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|RNA22|TargetScan_v7_2
MED1	Q15648		hsa-miR-146b-5p	0.717369023899851	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|miRDB_v6|mirmap_May_2021|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
MIDEAS	Q6PJG2		hsa-miR-34c-5p	0.717063637717554	12	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
WDR5	P61964		hsa-miR-31-5p	0.716920669142689	12	Very High	MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
CUEDC1	Q9NWM3		hsa-miR-34c-5p	0.716881613272807	10	Very High	Cupid|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SEMA6D	Q8NFY4		hsa-miR-31-5p	0.716514103417718	10	Very High	Cupid|MBStar|MultiMiTar|miRTar2GO|MirAncesTar|mirmap_May_2021|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
CA7	P43166		hsa-miR-34c-5p	0.716452010379489	10	Very High	Cupid|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
AHCYL1	O43865		hsa-miR-31-5p	0.716228587172384	10	Very High	MirTar2|MultiMiTar|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
SATB2	Q9UPW6		hsa-miR-205-5p	0.716202325618809	9	Very High	Cupid|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
SLC35A1	P78382		hsa-miR-205-5p	0.716171899978847	10	Very High	MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
CLOCK	O15516		hsa-miR-34c-5p	0.716026178064623	11	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
CNOT6L	Q96LI5		hsa-miR-34c-5p	0.715726252522974	12	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|RNA22|TargetScan_v7_2
TAF5	Q15542		hsa-miR-34c-5p	0.715389562974653	10	Very High	Cupid|MBStar|MirTar2|MultiMiTar|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|TargetScan_v7_2
STX12	Q86Y82		hsa-miR-31-5p	0.715318364007346	11	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miRDB_v6|mirmap_May_2021|mirzag|TargetScan_v7_2
NFE2L1	Q14494		hsa-miR-34c-5p	0.715176589868536	11	Very High	Cupid|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
NCEH1	Q6PIU2		hsa-miR-34c-5p	0.714799973397064	11	Very High	Cupid|MBStar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
KITLG	P21583		hsa-miR-34c-5p	0.714471425045477	12	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SLC25A27	O95847		hsa-miR-34c-5p	0.714154223221147	10	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|TargetScan_v7_2
GPR85	P60893		hsa-miR-34c-5p	0.7140071999237	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
EIF5	P55010		hsa-miR-31-5p	0.713975151331117	12	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
DCP1A	Q9NPI6		hsa-miR-34c-5p	0.713819208672961	9	Very High	Cupid|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirzag|RNA22|TargetScan_v7_2
SRPRA	P08240		hsa-miR-34c-5p	0.713760878770705	13	Very High	Cupid|MBStar|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TACC2	O95359		hsa-miR-31-5p	0.713651357596412	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirbase|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
RAB21	Q9UL25		hsa-miR-34c-5p	0.71363505361119	11	Very High	Cupid|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
MSL2	Q9HCI7		hsa-miR-34c-5p	0.713177312147027	11	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirzag|RNA22|TargetScan_v7_2
CNOT6	Q9ULM6		hsa-miR-34c-5p	0.712619426152615	10	Very High	Cupid|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
ZMYM4	Q5VZL5		hsa-miR-34c-5p	0.712568702318095	11	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
ATP8A1	Q9Y2Q0		hsa-miR-31-5p	0.712372186017705	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TMEFF1	Q8IYR6		hsa-miR-34c-5p	0.712296293404467	10	Very High	Cupid|MirTar2|MultiMiTar|miRTar2GO|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
CORO1C	Q9ULV4		hsa-miR-34c-5p	0.711926435385434	10	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirzag|RNA22|TargetScan_v7_2
STARD13	Q9Y3M8		hsa-miR-31-5p	0.711672113698804	11	Very High	Cupid|MBStar|MirTar2|MultiMiTar|miRTar2GO|MirAncesTar|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
TBCK	Q8TEA7		hsa-miR-34c-5p	0.710890101118667	12	Very High	Cupid|MBStar|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
RAP2B	P61225		hsa-miR-205-5p	0.710336239115955	11	Very High	MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
EML5	Q05BV3		hsa-miR-34c-5p	0.710275804210477	12	Very High	Cupid|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
KLF4	O43474		hsa-miR-34c-5p	0.710019867253882	9	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|TargetScan_v7_2
BCORL1	Q5H9F3		hsa-miR-146b-5p	0.709864530171873	13	Very High	MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
HOXA13	P31271		hsa-miR-34c-5p	0.709839359708018	8	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|MirAncesTar|miranda_May_2021|MiRNATIP|TargetScan_v7_2
POU2F1	P14859		hsa-miR-31-5p	0.709586794715985	13	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|PITA_May_2021|RNA22|TargetScan_v7_2
PTPRM	P28827		hsa-miR-205-5p	0.709369997828159	10	Very High	Cupid|MBStar|MirTar2|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
SNTB2	Q13425		hsa-miR-34c-5p	0.709207151690547	9	Very High	MBStar|MultiMiTar|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
MOSMO	Q8NHV5		hsa-miR-205-5p	0.709092536447709	9	Very High	Cupid|MBStar|MirTar2|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
LRRK2	Q5S007		hsa-miR-205-5p	0.708867312958143	11	Very High	MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
MYRIP	Q8NFW9		hsa-miR-34c-5p	0.708855634694837	10	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirmap_May_2021|RNA22|TargetScan_v7_2
TTC19	Q6DKK2		hsa-miR-34c-5p	0.708603818628713	10	Very High	MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
SURF4	O15260		hsa-miR-34c-5p	0.708547834936913	12	Very High	Cupid|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
MGRN1	O60291		hsa-miR-205-5p	0.708430423871291	10	Very High	MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
TGFA	P01135		hsa-miR-205-5p	0.707394651784168	11	Very High	Cupid|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
ANKFY1	Q9P2R3		hsa-miR-31-5p	0.706981283382679	12	Very High	Cupid|MBStar|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SBF2	Q86WG5		hsa-miR-205-5p	0.706273990307771	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
TENT5A	Q96IP4		hsa-miR-34c-5p	0.706166132424257	13	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|PITA_May_2021|RNA22|TargetScan_v7_2
TNFAIP8	O95379		hsa-miR-205-5p	0.7057420641421	11	Very High	MBStar|MirTar2|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
PDE3B	Q13370		hsa-miR-205-5p	0.705420101100572	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
ERGIC1	Q969X5		hsa-miR-34c-5p	0.704975111930246	10	Very High	MirTar2|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
ZNRF3	Q9ULT6		hsa-miR-146b-5p	0.704909785471664	15	Very High	Cupid|MBStar|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
IGSF1	Q8N6C5		hsa-miR-146b-5p	0.704873771796553	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|MirAncesTar|mirCoX|miranda_May_2021|mirbase|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
ERBB4	Q15303		hsa-miR-205-5p	0.704800730048285	13	Very High	MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TNRC6A	Q8NDV7		hsa-miR-652-3p	0.704221100452305	11	Very High	MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirbase|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
FRK	P42685		hsa-miR-205-5p	0.704011210299161	10	Very High	Cupid|MirTar2|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
GNAO1	P09471		hsa-miR-34c-5p	0.703882434935315	10	Very High	Cupid|MBStar|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SORBS1	Q9BX66		hsa-miR-205-5p	0.702493535137508	10	Very High	MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
TCF12	Q99081		hsa-miR-34c-5p	0.702298733978821	12	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
MEX3C	Q5U5Q3		hsa-miR-34c-5p	0.701507086473019	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|mirzag|PITA_May_2021|RNA22
GLCE	O94923		hsa-miR-34c-5p	0.701466073863708	13	Very High	MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SGMS1	Q86VZ5		hsa-miR-205-5p	0.701460441556556	9	Very High	MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
SLCO3A1	Q9UIG8		hsa-miR-34c-5p	0.701438089704672	13	Very High	MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
BRINP1	O60477		hsa-miR-34c-5p	0.701131941162688	10	Very High	MirTar2|MultiMiTar|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
RALA	P11233		hsa-miR-30a-3p	0.70051686385461	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag
SNX15	Q9NRS6		hsa-miR-34c-5p	0.699802307105088	9	Very High	Cupid|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|RNA22|TargetScan_v7_2
GMFB	P60983		hsa-miR-34c-5p	0.699506006556244	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
CPEB2	Q7Z5Q1		hsa-miR-205-5p	0.699180388200315	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
FBXO10	Q9UK96		hsa-miR-34c-5p	0.699142981759834	12	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|RNA22|TargetScan_v7_2
CERS6	Q6ZMG9		hsa-miR-34c-5p	0.699142350725396	10	Very High	MBStar|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22|TargetScan_v7_2
NDST1	P52848		hsa-miR-34c-5p	0.698826692731746	12	Very High	MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|PITA_May_2021|RNA22|TargetScan_v7_2
